"id","x"
"1",18.9741574079604
"2",18.2966827457405
"3",27.1730673877638
"4",14.7839712421667
"5",17.0543584137777
"6",15.7112597551283
"7",20.5394828286596
"8",22.2543341144791
"9",22.9889187838634
"10",13.4701050799423
"11",19.9550064118493
"12",15.7865746199578
"13",21.6331740605561
"14",11.4453348948032
"15",17.4653866585121
"16",17.8817115880271
"17",18.9515769537139
"18",22.860280509799
"19",23.6508234880041
"20",27.142499371675
"21",22.6805285910633
"22",17.8090898233461
"23",24.9042724817788
"24",30.8230464713154
